mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.87,"8km NNW of Borrego Springs, CA",1653519750650,1653520836602,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026767,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026767&format=geojson,,,,,reviewed,0,12,ci,40026767,",ci40026767,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.03102,0.15,52.0,ml,earthquake,"M 0.9 - 8km NNW of Borrego Springs, CA"
1.35,"8 km WNW of Georgetown, Idaho",1653519539820,1653577188130,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60499622,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60499622&format=geojson,,,,,reviewed,0,28,uu,60499622,",uu60499622,",",uu,",",origin,phase-data,",7.0,0.4709,0.2,278.0,md,earthquake,"M 1.4 - 8 km WNW of Georgetown, Idaho"
0.55,"18km E of Little Lake, CA",1653519530990,1653521192342,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026759,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026759&format=geojson,,,,,reviewed,0,5,ci,40026759,",ci40026759,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.0479,0.06,99.0,ml,earthquake,"M 0.6 - 18km E of Little Lake, CA"
0.3,"20 km NNE of Sutcliffe, Nevada",1653519523868,1653532834713,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839670,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839670&format=geojson,,,,,reviewed,0,1,nn,00839670,",nn00839670,",",nn,",",origin,phase-data,",3.0,0.208,0.0669,241.64,ml,earthquake,"M 0.3 - 20 km NNE of Sutcliffe, Nevada"
4.6,"47 km ENE of Tocopilla, Chile",1653519102982,1653522215442,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcj1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcj1&format=geojson,3.0,2.5,,,reviewed,0,326,us,7000hcj1,",us7000hcj1,",",us,",",dyfi,origin,phase-data,",,0.159,1.03,131.0,mb,earthquake,"M 4.6 - 47 km ENE of Tocopilla, Chile"
0.53,"24 km ENE of Ashford, Washington",1653518802610,1653526666960,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835612&format=geojson,,,,,reviewed,0,4,uw,61835612,",uw61835612,",",uw,",",origin,phase-data,",6.0,0.04226,0.15,110.0,ml,earthquake,"M 0.5 - 24 km ENE of Ashford, Washington"
-0.21,"7 km WSW of Unalaska, Alaska",1653518536330,1653541400460,,https://earthquake.usgs.gov/earthquakes/eventpage/av91060203,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91060203&format=geojson,,,,,reviewed,0,0,av,91060203,",av91060203,",",av,",",origin,phase-data,",6.0,,0.21,160.0,ml,earthquake,"M -0.2 - 7 km WSW of Unalaska, Alaska"
1.1,"8 km W of Point MacKenzie, Alaska",1653518203971,1653518764971,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o68o37,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o68o37&format=geojson,,,,,automatic,0,19,ak,0226o68o37,",ak0226o68o37,",",ak,",",origin,phase-data,",,,0.69,,ml,earthquake,"M 1.1 - 8 km W of Point MacKenzie, Alaska"
1.19,"30 km SE of Cascadia, Oregon",1653517735870,1653527441580,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835587,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835587&format=geojson,,,,,reviewed,0,22,uw,61835587,",uw61835587,",",uw,",",origin,phase-data,",7.0,0.1337,0.17,137.0,ml,explosion,"M 1.2 Explosion - 30 km SE of Cascadia, Oregon"
0.37,"4km W of Cobb, CA",1653517539910,1653608895329,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737921&format=geojson,,,,,reviewed,0,2,nc,73737921,",nc73737921,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.008436,0.03,107.0,md,earthquake,"M 0.4 - 4km W of Cobb, CA"
1.1,"8km NW of The Geysers, CA",1653517363960,1653518652750,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737916,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737916&format=geojson,,,,,automatic,0,19,nc,73737916,",nc73737916,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.007534,0.01,47.0,md,earthquake,"M 1.1 - 8km NW of The Geysers, CA"
1.2,"14 km N of Meadow Lakes, Alaska",1653517219889,1653517384601,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o656qm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o656qm&format=geojson,,,,,automatic,0,22,ak,0226o656qm,",ak0226o656qm,",",ak,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 1.2 - 14 km N of Meadow Lakes, Alaska"
0.4,"30 km SE of Mina, Nevada",1653517184055,1653532828114,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839644,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839644&format=geojson,,,,,reviewed,0,2,nn,00839644,",nn00839644,",",nn,",",origin,phase-data,",14.0,0.075,0.1096,167.88,ml,earthquake,"M 0.4 - 30 km SE of Mina, Nevada"
0.4,"19 km NE of Sutcliffe, Nevada",1653517026735,1653532835502,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839671&format=geojson,,,,,reviewed,0,2,nn,00839671,",nn00839671,",",nn,",",origin,phase-data,",4.0,0.216,0.1191,175.42,ml,earthquake,"M 0.4 - 19 km NE of Sutcliffe, Nevada"
1.66,"6km ENE of Progreso, B.C., MX",1653517019110,1653519096075,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026735&format=geojson,,,,,reviewed,0,42,ci,40026735,",ci40026735,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.07407,0.22,122.0,ml,earthquake,"M 1.7 - 6km ENE of Progreso, B.C., MX"
1.6400000000000001,"2 km NW of Carson, Washington",1653516517790,1653527194490,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835562,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835562&format=geojson,,,,,reviewed,0,41,uw,61835562,",uw61835562,",",uw,",",origin,phase-data,",15.0,0.07458,0.21,94.0,ml,explosion,"M 1.6 Explosion - 2 km NW of Carson, Washington"
2.3,"13 km SW of Karluk, Alaska",1653515912410,1653517487040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o5rw9v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o5rw9v&format=geojson,,,,,automatic,0,81,ak,0226o5rw9v,",us7000hciv,ak0226o5rw9v,",",us,ak,",",origin,phase-data,",,,0.82,,ml,earthquake,"M 2.3 - 13 km SW of Karluk, Alaska"
2.1,"19 km NE of Sutcliffe, Nevada",1653515801508,1653532823085,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839631&format=geojson,,,,,reviewed,0,68,nn,00839631,",nn00839631,",",nn,",",origin,phase-data,",14.0,0.217,0.1482,146.91,ml,earthquake,"M 2.1 - 19 km NE of Sutcliffe, Nevada"
4.6,"128 km SSW of Koróni, Greece",1653515689980,1653516757040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcit,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcit&format=geojson,,,,,reviewed,0,326,us,7000hcit,",us7000hcit,",",us,",",origin,phase-data,",,1.531,0.64,55.0,mb,earthquake,"M 4.6 - 128 km SSW of Koróni, Greece"
5.5,"Oaxaca, Mexico",1653514982087,1653631117194,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcir,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcir&format=geojson,32.0,5.2,5.638,green,reviewed,0,482,us,7000hcir,",us7000hcir,usauto7000hcir,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,origin,phase-data,shakemap,",,2.871,0.93,135.0,mww,earthquake,"M 5.5 - Oaxaca, Mexico"
2.49,"10km SSW of Ridgemark, CA",1653514796450,1653606131042,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737901&format=geojson,5.0,2.2,,,reviewed,0,96,nc,73737901,",nc73737901,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",63.0,0.04517,0.12,56.0,md,earthquake,"M 2.5 - 10km SSW of Ridgemark, CA"
1.18,"1 km NNW of La Parguera, Puerto Rico",1653514481300,1653515343270,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71350728,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71350728&format=geojson,,,,,reviewed,0,21,pr,71350728,",pr71350728,",",pr,",",origin,phase-data,",3.0,,0.04,180.0,md,earthquake,"M 1.2 - 1 km NNW of La Parguera, Puerto Rico"
1.12,"2km ESE of Home Gardens, CA",1653514182830,1653519990564,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026719,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026719&format=geojson,,,,,reviewed,0,19,ci,40026719,",ci40026719,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",30.0,0.0704,0.21,46.0,ml,quarry blast,"M 1.1 Quarry Blast - 2km ESE of Home Gardens, CA"
2.7,"26 km SW of Mina, Nevada",1653513999646,1653532818970,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839616,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839616&format=geojson,1.0,2.0,,,reviewed,0,112,nn,00839616,",nn00839616,us7000hcim,",",nn,us,",",dyfi,origin,phase-data,",24.0,0.116,0.1347,60.82,ml,earthquake,"M 2.7 - 26 km SW of Mina, Nevada"
1.43,"11 km NNW of Kenefic, Oklahoma",1653513303140,1653569645682,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022kesn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022kesn&format=geojson,,,,,reviewed,0,31,ok,2022kesn,",ok2022kesn,",",ok,",",origin,phase-data,",34.0,0.4463124183,0.33,119.0,ml,quarry blast,"M 1.4 Quarry Blast - 11 km NNW of Kenefic, Oklahoma"
1.15,"6 km WNW of Catoosa, Oklahoma",1653513274049,1653572783862,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022kesm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022kesm&format=geojson,,,,,reviewed,0,20,ok,2022kesm,",ok2022kesm,",",ok,",",origin,phase-data,",46.0,0.2906429659,0.43,116.0,ml,quarry blast,"M 1.2 Quarry Blast - 6 km WNW of Catoosa, Oklahoma"
-0.53,"7 km WSW of Unalaska, Alaska",1653513156670,1653539890420,,https://earthquake.usgs.gov/earthquakes/eventpage/av91573121,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91573121&format=geojson,,,,,reviewed,0,0,av,91573121,",av91573121,",",av,",",origin,phase-data,",6.0,,0.11,151.0,ml,earthquake,"M -0.5 - 7 km WSW of Unalaska, Alaska"
0.88,"4km SSE of The Geysers, CA",1653513025160,1653514693312,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737891&format=geojson,,,,,automatic,0,12,nc,73737891,",nc73737891,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.00878,0.02,152.0,md,earthquake,"M 0.9 - 4km SSE of The Geysers, CA"
0.91,"12km N of Banning, CA",1653512947640,1653517816921,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026687,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026687&format=geojson,,,,,reviewed,0,13,ci,40026687,",ci40026687,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.04696,0.12,70.0,ml,earthquake,"M 0.9 - 12km N of Banning, CA"
4.2,"50 km ESE of Yujing, Taiwan",1653512301827,1653513691040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcie,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcie&format=geojson,,,,,reviewed,0,271,us,7000hcie,",us7000hcie,",",us,",",origin,phase-data,",,0.248,0.94,91.0,mb,earthquake,"M 4.2 - 50 km ESE of Yujing, Taiwan"
2.7,"48 km SSW of Glacier View, Alaska",1653512183066,1653513254040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o561jt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o561jt&format=geojson,,,,,automatic,0,112,ak,0226o561jt,",us7000hci9,ak0226o561jt,",",us,ak,",",origin,phase-data,",,,0.66,,ml,earthquake,"M 2.7 - 48 km SSW of Glacier View, Alaska"
0.1,"148 km W of Adak, Alaska",1653512120470,1653539333390,,https://earthquake.usgs.gov/earthquakes/eventpage/av91573111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91573111&format=geojson,,,,,reviewed,0,0,av,91573111,",av91573111,",",av,",",origin,phase-data,",4.0,,0.2,95.0,ml,earthquake,"M 0.1 - 148 km W of Adak, Alaska"
2.8,"75 km SSW of Kaktovik, Alaska",1653510983331,1653512401040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hci6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hci6&format=geojson,,,,,reviewed,0,121,us,7000hci6,",us7000hci6,",",us,",",origin,phase-data,",,0.337,0.37,91.0,ml,earthquake,"M 2.8 - 75 km SSW of Kaktovik, Alaska"
2.11,"10 km NNE of Sprague, Washington",1653510127880,1653520464380,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835472&format=geojson,,,,,reviewed,0,68,uw,61835472,",uw61835472,",",uw,",",origin,phase-data,",9.0,0.4138,0.17,198.0,ml,explosion,"M 2.1 Explosion - 10 km NNE of Sprague, Washington"
0.76,"14km SW of Toms Place, CA",1653509409270,1653517993690,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737876&format=geojson,,,,,reviewed,0,9,nc,73737876,",nc73737876,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.1212,0.02,205.0,md,earthquake,"M 0.8 - 14km SW of Toms Place, CA"
1.49,"6km NNW of Round Valley, CA",1653509237740,1653547336646,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737866&format=geojson,,,,,reviewed,0,34,nc,73737866,",nc73737866,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.1208,0.04,49.0,md,earthquake,"M 1.5 - 6km NNW of Round Valley, CA"
-0.19,"17 km WNW of Basin City, Washington",1653508906780,1653524718060,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835452,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835452&format=geojson,,,,,reviewed,0,0,uw,61835452,",uw61835452,",",uw,",",origin,phase-data,",2.0,0.07211,0.27,281.0,md,earthquake,"M -0.2 - 17 km WNW of Basin City, Washington"
1.46,"7km N of Santa Margarita, CA",1653507870130,1653510134842,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737861&format=geojson,,,,,automatic,0,33,nc,73737861,",nc73737861,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.07964,0.04,173.0,md,earthquake,"M 1.5 - 7km N of Santa Margarita, CA"
1.93,"Rat Islands, Aleutian Islands, Alaska",1653507742610,1653538970400,,https://earthquake.usgs.gov/earthquakes/eventpage/av91060183,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91060183&format=geojson,,,,,reviewed,0,57,av,91060183,",av91060183,",",av,",",origin,phase-data,",5.0,,0.22,342.0,ml,earthquake,"M 1.9 - Rat Islands, Aleutian Islands, Alaska"
-0.09,"27 km ENE of Dutch Harbor, Alaska",1653507399870,1653539183810,,https://earthquake.usgs.gov/earthquakes/eventpage/av91060188,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91060188&format=geojson,,,,,reviewed,0,0,av,91060188,",av91060188,",",av,",",origin,phase-data,",9.0,,0.08,313.0,ml,earthquake,"M -0.1 - 27 km ENE of Dutch Harbor, Alaska"
0.85,"7km WNW of Cobb, CA",1653507198020,1653509475780,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737856&format=geojson,,,,,automatic,0,11,nc,73737856,",nc73737856,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.006787,0.01,122.0,md,earthquake,"M 0.9 - 7km WNW of Cobb, CA"
2.3,"26 km W of Volcano, Hawaii",1653506846250,1653513267790,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73023067,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73023067&format=geojson,,,,,reviewed,0,81,hv,73023067,",hv73023067,",",hv,",",origin,phase-data,",44.0,,0.14,41.0,ml,earthquake,"M 2.3 - 26 km W of Volcano, Hawaii"
0.5,"22 km NE of Sutcliffe, Nevada",1653505834850,1653532832845,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839652,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839652&format=geojson,,,,,reviewed,0,4,nn,00839652,",nn00839652,",",nn,",",origin,phase-data,",3.0,0.238,0.1795,248.9,ml,earthquake,"M 0.5 - 22 km NE of Sutcliffe, Nevada"
0.85,"5km NE of Bradbury, CA",1653505472680,1653510523053,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026567&format=geojson,,,,,reviewed,0,11,ci,40026567,",ci40026567,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.0496,0.19,107.0,ml,quarry blast,"M 0.9 Quarry Blast - 5km NE of Bradbury, CA"
1.68,"5 km ENE of Butte, Montana",1653505404280,1653511363630,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80546969,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80546969&format=geojson,,,,,reviewed,0,43,mb,80546969,",mb80546969,",",mb,",",origin,phase-data,",16.0,0.062,0.13,106.0,ml,quarry blast,"M 1.7 Quarry Blast - 5 km ENE of Butte, Montana"
0.3,"10km E of Mammoth Lakes, CA",1653505243970,1653517397623,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737846&format=geojson,,,,,reviewed,0,1,nc,73737846,",nc73737846,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.009364,0.04,130.0,md,earthquake,"M 0.3 - 10km E of Mammoth Lakes, CA"
0.5,"21 km NE of Sutcliffe, Nevada",1653505184320,1653532832154,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839651,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839651&format=geojson,,,,,reviewed,0,4,nn,00839651,",nn00839651,",",nn,",",origin,phase-data,",4.0,0.219,0.1489,244.8,ml,earthquake,"M 0.5 - 21 km NE of Sutcliffe, Nevada"
0.72,"15km W of Searles Valley, CA",1653505160000,1653512426421,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026559,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026559&format=geojson,,,,,reviewed,0,8,ci,40026559,",ci40026559,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.07023,0.11,151.0,ml,earthquake,"M 0.7 - 15km W of Searles Valley, CA"
5.0,"49 km WSW of Masachapa, Nicaragua",1653505118675,1653526824337,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hchh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hchh&format=geojson,6.0,7.1,,,reviewed,0,389,us,7000hchh,",us7000hchh,",",us,",",dyfi,origin,phase-data,",,0.864,0.7,132.0,mb,earthquake,"M 5.0 - 49 km WSW of Masachapa, Nicaragua"
0.5,"20 km NNE of Sutcliffe, Nevada",1653504773579,1653532831356,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839650,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839650&format=geojson,,,,,reviewed,0,4,nn,00839650,",nn00839650,",",nn,",",origin,phase-data,",3.0,0.208,0.0764,241.94,ml,earthquake,"M 0.5 - 20 km NNE of Sutcliffe, Nevada"
0.92,"9km SSW of Idyllwild, CA",1653504689540,1653511092850,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026551,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026551&format=geojson,,,,,reviewed,0,13,ci,40026551,",ci40026551,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",34.0,0.06059,0.11,60.0,ml,earthquake,"M 0.9 - 9km SSW of Idyllwild, CA"
4.3,"28 km WSW of San Isidro, Costa Rica",1653504529503,1653581674211,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hchg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hchg&format=geojson,5.0,4.8,,,reviewed,0,287,us,7000hchg,",us7000hchg,",",us,",",dyfi,origin,phase-data,",,0.481,0.78,149.0,mb,earthquake,"M 4.3 - 28 km WSW of San Isidro, Costa Rica"
2.0,"19 km NNE of Sutcliffe, Nevada",1653504503658,1653532804308,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839594,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839594&format=geojson,,,,,reviewed,0,62,nn,00839594,",nn00839594,",",nn,",",origin,phase-data,",12.0,0.208,0.1799,147.05,ml,earthquake,"M 2.0 - 19 km NNE of Sutcliffe, Nevada"
1.9,"46 km NW of Toyah, Texas",1653504473142,1653595409131,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022kenq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022kenq&format=geojson,,,,,reviewed,0,56,tx,2022kenq,",tx2022kenq,",",tx,",",origin,phase-data,",25.0,0.1016592969,0.3,53.0,ml,earthquake,"M 1.9 - 46 km NW of Toyah, Texas"
2.2,"19 km NE of Sutcliffe, Nevada",1653504295576,1653532802793,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839590,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839590&format=geojson,,,,,reviewed,0,74,nn,00839590,",nn00839590,",",nn,",",origin,phase-data,",16.0,0.217,0.1334,148.1,ml,earthquake,"M 2.2 - 19 km NE of Sutcliffe, Nevada"
